name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Madrid,2008-08-11,31.9,20.2,26.8,30.6,20.2,26.1,9,33.5,0,0,0,,0,0,,32.8,243.8,1009.6,48.3,19.5,,,,,2008-08-11T07:21:53,2008-08-11T21:17:15,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08227099999,08224099999,08219099999,08213099999,08223099999,08215099999"
Madrid,2008-08-12,29.1,17.9,24.1,28.3,17.9,24,12.3,49.9,0,0,0,,0,0,,30.9,236.4,1010,32.9,20.7,,,,,2008-08-12T07:22:51,2008-08-12T21:15:56,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08227099999,08224099999,08219099999,08213099999,08223099999,08215099999"
Madrid,2008-08-13,30.2,15.8,22.8,28.3,15.8,22.4,4,30.9,0,0,0,,0,0,,13.2,18.1,1014.7,20.8,20.4,,,,,2008-08-13T07:23:50,2008-08-13T21:14:36,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08227099999,08224099999,08219099999,08213099999,08223099999,08215099999"
Madrid,2008-08-14,27.5,16.1,22.1,26.5,16.1,22,4.3,33.2,0,0,0,,0,0,,23.1,281.6,1015.3,45.9,19.6,,,,,2008-08-14T07:24:48,2008-08-14T21:13:15,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08227099999,08224099999,08219099999,08213099999,08223099999,08215099999"
Madrid,2008-08-15,27.1,13.2,20.4,26.6,13.2,20.3,2.3,32.7,0,0,0,,0,0,,26.3,325.5,1020.2,14.8,20.6,,,,,2008-08-15T07:25:46,2008-08-15T21:11:53,0.45,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08227099999,08224099999,08219099999,08213099999,08223099999,08215099999"
Madrid,2008-08-16,28.2,13.5,20.5,27,13.5,20.3,3.4,33.8,0,0,0,,0,0,,22.1,271,1013.3,38,20.9,,,,,2008-08-16T07:26:44,2008-08-16T21:10:30,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08227099999,08224099999,08213099999,08219099999,08223099999,08215099999"
Madrid,2008-08-17,29.1,14.3,22.3,27.7,14.3,22.1,8.3,44.2,0.012,100,4.17,rain,0,0,,15.6,242.2,1013.7,28.9,20.4,,,,,2008-08-17T07:27:42,2008-08-17T21:09:06,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"08221099999,08227099999,08224099999,08213099999,08219099999,08223099999,08215099999"
Madrid,2008-08-18,32.3,14.1,23.7,30.2,14.1,23,5.1,32.9,0,0,0,,0,0,,15.4,253.8,1015,0,20,,,,,2008-08-18T07:28:41,2008-08-18T21:07:41,0.55,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08227099999,08224099999,08226099999,08219099999,08213099999,08223099999,08215099999"
Madrid,2008-08-19,31.3,15.9,24.1,29.4,15.9,23.5,4.6,29.8,0,0,0,,0,0,,21.9,264.7,1015,11.7,20.4,,,,,2008-08-19T07:29:39,2008-08-19T21:06:15,0.59,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08227099999,08224099999,08226099999,08219099999,08213099999,08223099999,08215099999"
Madrid,2008-08-20,31.4,16.1,23.5,29.5,16.1,23,7,37.9,0,0,0,,0,0,,10.3,51,1017.9,2.2,19.6,,,,,2008-08-20T07:30:37,2008-08-20T21:04:48,0.63,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08227099999,08224099999,08226099999,08219099999,08213099999,08223099999,08215099999"
Madrid,2008-08-21,33.7,16.8,25.1,31.4,16.8,24.4,6.2,32.4,0,0,0,,0,0,,19.9,264.4,1018.6,25.5,19.7,,,,,2008-08-21T07:31:35,2008-08-21T21:03:20,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08227099999,08224099999,08226099999,08219099999,08213099999,08223099999,08215099999"
Madrid,2008-08-22,32.1,19.2,26.1,30.4,19.2,25.6,9.6,37.3,0.102,100,4.17,rain,0,0,,25.1,333.3,1016.8,57.8,20.3,,,,,2008-08-22T07:32:34,2008-08-22T21:01:51,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"08221099999,08227099999,08224099999,08226099999,08219099999,08213099999,08223099999,08215099999"
Madrid,2008-08-23,30.5,17.4,23.3,29.4,17.4,23.1,11.7,50.8,0,0,0,,0,0,,14.9,17,1016.7,48.7,20.3,,,,,2008-08-23T07:33:32,2008-08-23T21:00:21,0.73,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08227099999,08224099999,08213099999,08219099999,08223099999,08215099999"
Madrid,2008-08-24,32.3,16.5,24.7,30.3,16.5,24.1,7.8,35.7,0,0,0,,0,0,,12.9,274.2,1015.8,13.8,20.4,,,,,2008-08-24T07:34:30,2008-08-24T20:58:51,0.75,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08227099999,08224099999,08213099999,08219099999,08223099999,08215099999"
Madrid,2008-08-25,33.2,16.5,25.1,31,16.5,24.4,6.2,31.6,0,0,0,,0,0,,12.8,153.9,1017.1,11.5,20.3,,,,,2008-08-25T07:35:28,2008-08-25T20:57:20,0.81,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08227099999,08224099999,08226099999,08219099999,08213099999,08223099999,08215099999"
Madrid,2008-08-26,33.4,19.1,25.7,32,19.1,25.3,11.6,43.8,0,0,0,,0,0,,12.5,58.8,1019.3,15.5,19.4,,,,,2008-08-26T07:36:26,2008-08-26T20:55:48,0.84,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08227099999,08224099999,08226099999,08219099999,08213099999,08223099999,08215099999"
Madrid,2008-08-27,32.5,21.2,26.8,31.5,21.2,26.5,13.8,46.7,0,0,0,,0,0,,25,115.1,1019.5,52.3,17.9,,,,,2008-08-27T07:37:24,2008-08-27T20:54:15,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08227099999,08224099999,08219099999,08213099999,08223099999,08215099999"
Madrid,2008-08-28,33,19,25.8,31.8,19,25.4,12,44.6,0,0,0,,0,0,,11.6,77.2,1018.8,33.6,19.1,,,,,2008-08-28T07:38:22,2008-08-28T20:52:42,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08227099999,08224099999,08226099999,08219099999,08213099999,08223099999,08215099999"
